"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"alpha-correction-limits","common mistargeting +2 logits both sets","log unit ratio bias",59,60,1,0,NA,0.00943203839922491,0.0718608794961231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0166666666666667,0.016527194200715,0,0,"tools/simval/studies/alpha-correction-limits.R","687f21869cf63fbede1432d418e14021","abd6a9a+dirty","360e3609691b","2026-08-21",""
"alpha-correction-limits","differential mistargeting: set2 +1.5 logits","log unit ratio bias",60,60,0,0,NA,0.00709542047655193,0.0843408059486173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/alpha-correction-limits.R","687f21869cf63fbede1432d418e14021","abd6a9a+dirty","360e3609691b","2026-08-21",""
"alpha-correction-limits","differential mistargeting: set2 +2.5 logits","log unit ratio bias",60,60,0,0,NA,-0.00549697724325104,0.090945768116771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/alpha-correction-limits.R","687f21869cf63fbede1432d418e14021","abd6a9a+dirty","360e3609691b","2026-08-21",""
"alpha-correction-limits","ratio 2.5","log unit ratio bias",60,60,0,0,NA,-0.012467083985325,0.0674484539114262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/alpha-correction-limits.R","687f21869cf63fbede1432d418e14021","abd6a9a+dirty","360e3609691b","2026-08-21",""
"alpha-correction-limits","ratio 3.5","log unit ratio bias",60,60,0,0,NA,0.0189265203173954,0.0767769724241336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/alpha-correction-limits.R","687f21869cf63fbede1432d418e14021","abd6a9a+dirty","360e3609691b","2026-08-21",""
"alpha-correction-limits","4 items per set, N=1000","log unit ratio bias",80,80,0,0,NA,0.000149360251526565,0.0813246844791578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/alpha-correction-limits.R","687f21869cf63fbede1432d418e14021","abd6a9a+dirty","360e3609691b","2026-08-21",""
"alpha-correction-limits","3 items per set, N=1000","log unit ratio bias",0,80,80,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"tools/simval/studies/alpha-correction-limits.R","687f21869cf63fbede1432d418e14021","abd6a9a+dirty","360e3609691b","2026-08-21",""
"alpha-correction-limits","N=150","log unit ratio bias",100,100,0,0,NA,0.00136693110238767,0.125507442532108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/alpha-correction-limits.R","687f21869cf63fbede1432d418e14021","abd6a9a+dirty","360e3609691b","2026-08-21",""
"alpha-correction-limits","N=80","log unit ratio bias",87,100,11,2,NA,0.0217172566364258,0.185125450410906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.031288975694324,0.02,0.014,"tools/simval/studies/alpha-correction-limits.R","687f21869cf63fbede1432d418e14021","abd6a9a+dirty","360e3609691b","2026-08-21",""
"alpha-correction-limits","t3-tailed persons","log unit ratio bias",60,60,0,0,NA,0.0195765348295411,0.0926161042560086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/alpha-correction-limits.R","687f21869cf63fbede1432d418e14021","abd6a9a+dirty","360e3609691b","2026-08-21",""
"alpha-correction-limits","wide bimodal persons (modes +/-2.2)","log unit ratio bias",60,60,0,0,NA,0.00185540377159626,0.0459853478397201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/alpha-correction-limits.R","687f21869cf63fbede1432d418e14021","abd6a9a+dirty","360e3609691b","2026-08-21",""
"alpha-correction-limits","within-set discrimination jitter sd 0.25","log unit ratio bias",60,60,0,0,NA,-0.0182983548744549,0.0739027857946279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/alpha-correction-limits.R","687f21869cf63fbede1432d418e14021","abd6a9a+dirty","360e3609691b","2026-08-21",""
"alpha-correction-limits","within-set discrimination jitter sd 0.5","log unit ratio bias",60,60,0,0,NA,-0.037124939909481,0.0783463221822132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/alpha-correction-limits.R","687f21869cf63fbede1432d418e14021","abd6a9a+dirty","360e3609691b","2026-08-21",""
