"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","n_error","n_withheld","n_metric_unavailable","n_boot_attempted","n_boot_used","n_boot_nonconv","n_boot_errors","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","error_rate","mc_se_error","withheld_rate","mc_se_withheld","metric_unavailable_rate","mc_se_metric_unavailable","script","script_md5","package_sha","r_tree_md5","executed","notes"
"dif-bootstrap-model-conformance","explanatory","max_abs_F_difference",1,1,0,0,0,NA,NA,19,19,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-model-conformance.R","95036a8412ed15c2b04b6b7f927f35a0","git:86ddf2c+dirty","ae31d94cd122","2026-09-06","public result versus independently orchestrated public fit; exact family and generated-design check"
"dif-bootstrap-model-conformance","explanatory","max_abs_reference_p_difference",1,1,0,0,0,NA,NA,19,19,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-model-conformance.R","95036a8412ed15c2b04b6b7f927f35a0","git:86ddf2c+dirty","ae31d94cd122","2026-09-06","public result versus independently orchestrated public fit; exact family and generated-design check"
"dif-bootstrap-model-conformance","explanatory","retained_replicate_difference",1,1,0,0,0,NA,NA,19,19,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-model-conformance.R","95036a8412ed15c2b04b6b7f927f35a0","git:86ddf2c+dirty","ae31d94cd122","2026-09-06","public result versus independently orchestrated public fit; exact family and generated-design check"
"dif-bootstrap-model-conformance","explanatory","sufficient_score_or_design_failures",1,1,0,0,0,NA,NA,19,19,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-model-conformance.R","95036a8412ed15c2b04b6b7f927f35a0","git:86ddf2c+dirty","ae31d94cd122","2026-09-06","public result versus independently orchestrated public fit; exact family and generated-design check"
"dif-bootstrap-model-conformance","explanatory","legacy_to_reference_adjusted_max_change",1,1,0,0,0,NA,NA,19,19,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-model-conformance.R","95036a8412ed15c2b04b6b7f927f35a0","git:86ddf2c+dirty","ae31d94cd122","2026-09-06","public result versus independently orchestrated public fit; exact family and generated-design check"
"dif-bootstrap-model-conformance","explanatory","legacy_to_reference_flag_changes",1,1,0,0,0,NA,NA,19,19,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-model-conformance.R","95036a8412ed15c2b04b6b7f927f35a0","git:86ddf2c+dirty","ae31d94cd122","2026-09-06","public result versus independently orchestrated public fit; exact family and generated-design check"
"dif-bootstrap-model-conformance","mfrm","max_abs_F_difference",1,1,0,0,0,NA,NA,19,19,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-model-conformance.R","95036a8412ed15c2b04b6b7f927f35a0","git:86ddf2c+dirty","ae31d94cd122","2026-09-06","public result versus independently orchestrated public fit; exact family and generated-design check"
"dif-bootstrap-model-conformance","mfrm","max_abs_reference_p_difference",1,1,0,0,0,NA,NA,19,19,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-model-conformance.R","95036a8412ed15c2b04b6b7f927f35a0","git:86ddf2c+dirty","ae31d94cd122","2026-09-06","public result versus independently orchestrated public fit; exact family and generated-design check"
"dif-bootstrap-model-conformance","mfrm","retained_replicate_difference",1,1,0,0,0,NA,NA,19,19,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-model-conformance.R","95036a8412ed15c2b04b6b7f927f35a0","git:86ddf2c+dirty","ae31d94cd122","2026-09-06","public result versus independently orchestrated public fit; exact family and generated-design check"
"dif-bootstrap-model-conformance","mfrm","sufficient_score_or_design_failures",1,1,0,0,0,NA,NA,19,19,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-model-conformance.R","95036a8412ed15c2b04b6b7f927f35a0","git:86ddf2c+dirty","ae31d94cd122","2026-09-06","public result versus independently orchestrated public fit; exact family and generated-design check"
"dif-bootstrap-model-conformance","mfrm","legacy_to_reference_adjusted_max_change",1,1,0,0,0,NA,NA,19,19,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-model-conformance.R","95036a8412ed15c2b04b6b7f927f35a0","git:86ddf2c+dirty","ae31d94cd122","2026-09-06","public result versus independently orchestrated public fit; exact family and generated-design check"
"dif-bootstrap-model-conformance","mfrm","legacy_to_reference_flag_changes",1,1,0,0,0,NA,NA,19,19,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-model-conformance.R","95036a8412ed15c2b04b6b7f927f35a0","git:86ddf2c+dirty","ae31d94cd122","2026-09-06","public result versus independently orchestrated public fit; exact family and generated-design check"
"dif-bootstrap-model-conformance","efrm","max_abs_F_difference",1,1,0,0,0,NA,NA,19,19,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-model-conformance.R","95036a8412ed15c2b04b6b7f927f35a0","git:86ddf2c+dirty","ae31d94cd122","2026-09-06","public result versus independently orchestrated public fit; exact family and generated-design check"
"dif-bootstrap-model-conformance","efrm","max_abs_reference_p_difference",1,1,0,0,0,NA,NA,19,19,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-model-conformance.R","95036a8412ed15c2b04b6b7f927f35a0","git:86ddf2c+dirty","ae31d94cd122","2026-09-06","public result versus independently orchestrated public fit; exact family and generated-design check"
"dif-bootstrap-model-conformance","efrm","retained_replicate_difference",1,1,0,0,0,NA,NA,19,19,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-model-conformance.R","95036a8412ed15c2b04b6b7f927f35a0","git:86ddf2c+dirty","ae31d94cd122","2026-09-06","public result versus independently orchestrated public fit; exact family and generated-design check"
"dif-bootstrap-model-conformance","efrm","sufficient_score_or_design_failures",1,1,0,0,0,NA,NA,19,19,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-model-conformance.R","95036a8412ed15c2b04b6b7f927f35a0","git:86ddf2c+dirty","ae31d94cd122","2026-09-06","public result versus independently orchestrated public fit; exact family and generated-design check"
"dif-bootstrap-model-conformance","efrm","legacy_to_reference_adjusted_max_change",1,1,0,0,0,NA,NA,19,19,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-model-conformance.R","95036a8412ed15c2b04b6b7f927f35a0","git:86ddf2c+dirty","ae31d94cd122","2026-09-06","public result versus independently orchestrated public fit; exact family and generated-design check"
"dif-bootstrap-model-conformance","efrm","legacy_to_reference_flag_changes",1,1,0,0,0,NA,NA,19,19,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-model-conformance.R","95036a8412ed15c2b04b6b7f927f35a0","git:86ddf2c+dirty","ae31d94cd122","2026-09-06","public result versus independently orchestrated public fit; exact family and generated-design check"
"dif-bootstrap-model-conformance","btl","max_abs_F_difference",1,1,0,0,0,NA,NA,19,19,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-model-conformance.R","95036a8412ed15c2b04b6b7f927f35a0","git:86ddf2c+dirty","ae31d94cd122","2026-09-06","public result versus independently orchestrated public fit; exact family and generated-design check"
"dif-bootstrap-model-conformance","btl","max_abs_reference_p_difference",1,1,0,0,0,NA,NA,19,19,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-model-conformance.R","95036a8412ed15c2b04b6b7f927f35a0","git:86ddf2c+dirty","ae31d94cd122","2026-09-06","public result versus independently orchestrated public fit; exact family and generated-design check"
"dif-bootstrap-model-conformance","btl","retained_replicate_difference",1,1,0,0,0,NA,NA,19,19,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-model-conformance.R","95036a8412ed15c2b04b6b7f927f35a0","git:86ddf2c+dirty","ae31d94cd122","2026-09-06","public result versus independently orchestrated public fit; exact family and generated-design check"
"dif-bootstrap-model-conformance","btl","sufficient_score_or_design_failures",1,1,0,0,0,NA,NA,19,19,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-model-conformance.R","95036a8412ed15c2b04b6b7f927f35a0","git:86ddf2c+dirty","ae31d94cd122","2026-09-06","public result versus independently orchestrated public fit; exact family and generated-design check"
"dif-bootstrap-model-conformance","btl","legacy_to_reference_adjusted_max_change",1,1,0,0,0,NA,NA,19,19,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-model-conformance.R","95036a8412ed15c2b04b6b7f927f35a0","git:86ddf2c+dirty","ae31d94cd122","2026-09-06","public result versus independently orchestrated public fit; exact family and generated-design check"
"dif-bootstrap-model-conformance","btl","legacy_to_reference_flag_changes",1,1,0,0,0,NA,NA,19,19,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"tools/simval/studies/dif-bootstrap-model-conformance.R","95036a8412ed15c2b04b6b7f927f35a0","git:86ddf2c+dirty","ae31d94cd122","2026-09-06","public result versus independently orchestrated public fit; exact family and generated-design check"
