"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"explanatory-edge-cases","LLTM_N300","coefficient_x",1000,1000,0,0,0.45,0.00489774052134389,0.0543735550682747,0.0547552555561144,0.993028970754259,0.952,0.00675988165576884,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/explanatory-edge-cases.R","42edd1a6a6fda75a19006c01953c2dae","797f60e+dirty","954bcba447fe","2026-08-24","300 persons, 12 items, maximum scores 1; first refusal: none"
"explanatory-edge-cases","LLTM_N300","calibration_r2",1000,1000,0,0,0.872359300784442,NA,0.0559121472876381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/explanatory-edge-cases.R","42edd1a6a6fda75a19006c01953c2dae","797f60e+dirty","954bcba447fe","2026-08-24","300 persons, 12 items, maximum scores 1; first refusal: none The effect column records mean calibration R-squared"
"explanatory-edge-cases","LLTM_N300","kent_type1",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,0.058,0.00739161687318817,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/explanatory-edge-cases.R","42edd1a6a6fda75a19006c01953c2dae","797f60e+dirty","954bcba447fe","2026-08-24","300 persons, 12 items, maximum scores 1; first refusal: none"
"explanatory-edge-cases","LLTM_N300","naive_type1",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,0.986,0.00371537346709587,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/explanatory-edge-cases.R","42edd1a6a6fda75a19006c01953c2dae","797f60e+dirty","954bcba447fe","2026-08-24","300 persons, 12 items, maximum scores 1; first refusal: none Unscaled composite-likelihood reference; diagnostic only"
"explanatory-edge-cases","LPCM_four_category_N300","coefficient_x",1000,1000,0,0,0.45,-0.000129329722883353,0.0303839567555388,0.030128624624962,1.00847473569588,0.943,0.00733150734842434,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/explanatory-edge-cases.R","42edd1a6a6fda75a19006c01953c2dae","797f60e+dirty","954bcba447fe","2026-08-24","300 persons, 12 items, maximum scores 3; first refusal: none"
"explanatory-edge-cases","LPCM_four_category_N300","calibration_r2",1000,1000,0,0,0.958723211464698,NA,0.0112560829048265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/explanatory-edge-cases.R","42edd1a6a6fda75a19006c01953c2dae","797f60e+dirty","954bcba447fe","2026-08-24","300 persons, 12 items, maximum scores 3; first refusal: none The effect column records mean calibration R-squared"
"explanatory-edge-cases","LPCM_four_category_N300","kent_type1",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,0.044,0.00648567652600714,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/explanatory-edge-cases.R","42edd1a6a6fda75a19006c01953c2dae","797f60e+dirty","954bcba447fe","2026-08-24","300 persons, 12 items, maximum scores 3; first refusal: none"
"explanatory-edge-cases","LPCM_four_category_N300","naive_type1",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/explanatory-edge-cases.R","42edd1a6a6fda75a19006c01953c2dae","797f60e+dirty","954bcba447fe","2026-08-24","300 persons, 12 items, maximum scores 3; first refusal: none Unscaled composite-likelihood reference; diagnostic only"
"explanatory-edge-cases","LPCM_mixed_maximum_N800","coefficient_x",1000,1000,0,0,0.45,-0.000326954855111321,0.0235661879955213,0.0229748905426791,1.0257366820418,0.942,0.00739161687318817,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/explanatory-edge-cases.R","42edd1a6a6fda75a19006c01953c2dae","797f60e+dirty","954bcba447fe","2026-08-24","800 persons, 12 items, maximum scores 1/2/3; first refusal: none"
"explanatory-edge-cases","LPCM_mixed_maximum_N800","calibration_r2",1000,1000,0,0,0.985063990415044,NA,0.00514685805332076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/explanatory-edge-cases.R","42edd1a6a6fda75a19006c01953c2dae","797f60e+dirty","954bcba447fe","2026-08-24","800 persons, 12 items, maximum scores 1/2/3; first refusal: none The effect column records mean calibration R-squared"
"explanatory-edge-cases","LPCM_mixed_maximum_N800","kent_type1",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,0.048,0.00675988165576883,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/explanatory-edge-cases.R","42edd1a6a6fda75a19006c01953c2dae","797f60e+dirty","954bcba447fe","2026-08-24","800 persons, 12 items, maximum scores 1/2/3; first refusal: none"
"explanatory-edge-cases","LPCM_mixed_maximum_N800","naive_type1",1000,1000,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0,0,0,0,"tools/simval/studies/explanatory-edge-cases.R","42edd1a6a6fda75a19006c01953c2dae","797f60e+dirty","954bcba447fe","2026-08-24","800 persons, 12 items, maximum scores 1/2/3; first refusal: none Unscaled composite-likelihood reference; diagnostic only"
