area,check,condition,metric,observed,expected,pass,notes
PCM recovery,"threshold (tau) recovery vs truth, complete data","complete; PCM, N=600, 10 items, m=3, 100 reps",pooled correlation & RMSE (tau vs mean-centred truth),"cor=0.9938 (MC se 0.0005), RMSE=0.192","cor > 0.95, modest RMSE",True,
PCM recovery,"item location recovery vs truth, complete data","complete; PCM, N=600, 10 items, 100 reps",pooled correlation & RMSE (location vs mean-centred truth),"cor=0.9977 (MC se 0.0002), RMSE=0.093",cor > 0.95,True,
PCM SE calibration,empirical SD / mean reported SE for one item's location (I05),"complete; PCM, 100 reps",empSD/meanSE ratio; bias,ratio=1.061; bias=-0.0004,"ratio in [0.85, 1.20]",True,
PCM recovery,threshold & location recovery under 25% MCAR,"MCAR 25%; PCM, N=600, 10 items, 80 reps","cor_tau, cor_loc, RMSE","cor_tau=0.9911, rmse_tau=0.237; cor_loc=0.9970, rmse_loc=0.113","cor > 0.95, comparable to complete",True,
PCM SE calibration,SE ratio under 25% MCAR,"MCAR 25%; PCM, 80 reps",empSD/meanSE; bias,ratio=1.024; bias=0.0084,"ratio in [0.85, 1.20]",True,
PCM recovery,threshold & location recovery under linked booklet (no complete cases),"booklet (2 forms, shared link items I05-I06, no person sees all 10 items); PCM, N=600, 60 reps","cor_tau, cor_loc, RMSE, n_ok","58/60 fit (2 refused, near-singular info -- correct guard firing); cor_tau=0.9883, rmse_tau=0.273; cor_loc=0.9959, rmse_loc=0.135",cor > 0.95; occasional correct guard refusals acceptable,True,
PCM SE calibration,SE ratio under linked booklet,"booklet; PCM, 58 ok reps",empSD/meanSE; bias,ratio=1.089; bias=0.0182,"ratio in [0.85, 1.20]",True,
RSM recovery,"common threshold-structure recovery vs truth, complete data","complete; RSM, N=600, 10 items, m=3, 80 reps","cor_tau, cor_loc, RMSE","cor_tau=0.9993, rmse_tau=0.071; cor_loc=0.9991, rmse_loc=0.059",cor > 0.95,True,
RSM SE calibration,"SE ratio, complete data","complete; RSM, 80 reps",empSD/meanSE; bias,ratio=1.005; bias=-0.0033,"ratio in [0.85, 1.20]",True,
RSM recovery,recovery under 25% MCAR,"MCAR 25%; RSM, 60 reps","cor_tau, cor_loc, SE ratio","cor_tau=0.9990, cor_loc=0.9988; SE ratio=0.909, bias=-0.0047","cor > 0.95; ratio in [0.85, 1.20]",True,
RSM recovery,recovery under linked booklet,"booklet; RSM, 60 reps","cor_tau, cor_loc, SE ratio, n_ok","55/60 fit (5 refused, near-singular info); cor_tau=0.9986, cor_loc=0.9985; SE ratio=1.028, bias=-0.0076","cor > 0.95; ratio in [0.85, 1.20]",True,
Identification guard,a genuinely disconnected booklet (no shared link items) is refused,"booklet, 2 blocks of 5 items sharing no persons; PCM, N=400",class of result / error message,"rasch() throws: 'the item-pair graph is not connected: ... {I01..I05} | {I06..I10} ... link them through common items or persons, or anchor item(s) in every block'","refusal with an identification-guard message, not a silent fit",True,
