"study","scenario","quantity","n_reps","n_attempted","n_refused","n_nonconv","effect","bias","emp_sd","mean_se","se_ratio","coverage95","mc_se_coverage","type1","mc_se_type1","familywise","mc_se_familywise","power","mc_se_power","refusal_rate","mc_se_refusal","nonconv_rate","mc_se_nonconv","script","script_md5","package_sha","r_tree_md5","executed","notes"
"cross-package-diagnostics","dependence_magnitude (Andrich-Kreiner d)","no external parallel: simulation-validated only",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/cross-package-diagnostics.R","62732de47b039a77f96d9b0d46b6d7f8","d5aefe5","e62b3a89fcf8","2026-08-17","see results/dependence-magnitude-fix.csv"
"cross-package-diagnostics","spread_test (Andrich 1985 binomial bound)","no external parallel: simulation-validated only",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/cross-package-diagnostics.R","62732de47b039a77f96d9b0d46b6d7f8","d5aefe5","e62b3a89fcf8","2026-08-17","see results/round1-checks.csv"
"cross-package-diagnostics","tailored_analysis bootstrap","no external parallel: simulation-validated only",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/cross-package-diagnostics.R","62732de47b039a77f96d9b0d46b6d7f8","d5aefe5","e62b3a89fcf8","2026-08-17","see results/tailored-bootstrap.csv"
"cross-package-diagnostics","comparative judgement diagnostics (transitivity, judge fit, guards)","no external parallel: simulation-validated only",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/cross-package-diagnostics.R","62732de47b039a77f96d9b0d46b6d7f8","d5aefe5","e62b3a89fcf8","2026-08-17","see results/round1-checks.csv; btl-clustered.csv"
"cross-package-diagnostics","equate_tests multiplicity","no external parallel: simulation-validated only",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/cross-package-diagnostics.R","62732de47b039a77f96d9b0d46b6d7f8","d5aefe5","e62b3a89fcf8","2026-08-17","see results/equate-familywise.csv"
"cross-package-diagnostics","item fit (infit/outfit) vs eRm::itemfit, planted disc-3 item","value agreement, aligned convention",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/cross-package-diagnostics.R","62732de47b039a77f96d9b0d46b6d7f8","d5aefe5","e62b3a89fcf8","2026-08-17","mean cor infit 0.9749 / outfit 0.9926; mean max|diff| 0.0396 / 0.1012 (non-planted items); both flag the planted item in the same direction in 25/25 replicates; reported MSQs sit 8-10% above eRm's by the E[z^2] convention"
"cross-package-diagnostics","alpha vs psych::alpha","formula parity",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/cross-package-diagnostics.R","62732de47b039a77f96d9b0d46b6d7f8","d5aefe5","e62b3a89fcf8","2026-08-17","max |diff| over 25 replicates: 4.11e-15 (identical formula)"
"cross-package-diagnostics","PSI vs eRm::SepRel (convention-aligned: MLE persons, extremes excluded)","value agreement",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/cross-package-diagnostics.R","62732de47b039a77f96d9b0d46b6d7f8","d5aefe5","e62b3a89fcf8","2026-08-17","mean diff -0.00019, max |diff| 0.00421; native fit$psi$PSI differs by construction (WLE persons, extremes included) and floors at 0 where SepRel can go negative"
"cross-package-diagnostics","uniform DIF vs eRm::Waldtest and difR::difMH (BH-aligned)","decision agreement",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/cross-package-diagnostics.R","62732de47b039a77f96d9b0d46b6d7f8","d5aefe5","e62b3a89fcf8","2026-08-17","planted-item detection over 25 DIF replicates: rasch 21, eRm 22, MH 20; false positives per replicate (both arms pooled): rasch 0.160, eRm 0.080, MH 0.100"
"cross-package-diagnostics","residual correlations q3/q3_star vs TAM Q3/aQ3","value agreement + planted-pair detection",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/cross-package-diagnostics.R","62732de47b039a77f96d9b0d46b6d7f8","d5aefe5","e62b3a89fcf8","2026-08-17","mean cor q3 0.9190, q3_star 0.9190 native (WLE vs EAP residuals); 0.9730 when recomputed at TAM's EAP points; planted pair top-1: rasch (q3_star) 2/25, TAM (aQ3) 8/25"
"cross-package-diagnostics","person fit residuals vs PerFit lzstar/U3","rank agreement + careless detection",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/cross-package-diagnostics.R","62732de47b039a77f96d9b0d46b6d7f8","d5aefe5","e62b3a89fcf8","2026-08-17","mean |Spearman| vs lzstar 0.982, vs U3 0.969; worst-decile overlap 0.87; planted careless caught in worst decile: rasch 0.76 vs lzstar 0.77"
"cross-package-diagnostics","dimensionality vs eRm::NPtest (Tmd/T11) and sirt::conf.detect","decision rates (flag proportion per condition)",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tools/simval/studies/cross-package-diagnostics.R","62732de47b039a77f96d9b0d46b6d7f8","d5aefe5","e62b3a89fcf8","2026-08-17","null 10 items: rasch 0.00 Tmd 0.00 T11 0.13 DETECT 0.00 | 2D 4/6 split: 0.13 1.00 0.93 1.00 (short-subtest caution fires; quiet verdicts inconclusive) | null 12: 0.00 0.20 0.07 0.00 | 2D 6/6 split: 0.67 1.00 1.00 1.00"
